CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2025-12-12 01:59:48.0600216,E:\Windows\prefetch\INSTCAT.EXE-3099080F.pf,D:\Data\Target\E\Windows\prefetch\INSTCAT.EXE-3099080F.pf,11300,EB2E8EF704CD443F77A9238ED6C999246B37E591,False,2002-03-31 16:49:47.7838560,2002-03-31 16:49:47.7838560,2002-03-31 16:49:47.7838560,00:00:00.0097172
2025-12-12 01:59:48.0600216,E:\Windows\prefetch\LOGON.SCR-151EFAEA.pf,D:\Data\Target\E\Windows\prefetch\LOGON.SCR-151EFAEA.pf,6414,0FFD8BDD10937D95C2E00830E7A528357CABB016,False,2002-03-01 14:27:16.7803664,2002-06-03 23:36:00.0953872,2002-06-03 23:36:00.0953872,00:00:00
2025-12-12 01:59:48.0686391,E:\Windows\prefetch\LOGONUI.EXE-0AF22957.pf,D:\Data\Target\E\Windows\prefetch\LOGONUI.EXE-0AF22957.pf,13428,35A6B992875A5095A08102C506B8FD195743EDB7,False,2002-02-28 22:22:34.7941136,2002-05-14 19:15:06.3440976,2002-06-04 22:58:34.0867773,00:00:00.0026685
2025-12-12 01:59:48.0686391,E:\Windows\prefetch\MMC.EXE-3A6A3D2F.pf,D:\Data\Target\E\Windows\prefetch\MMC.EXE-3A6A3D2F.pf,23216,651E9C5FBEBC28C44B07B7BBB6FF30D4DBAEAF98,False,2002-03-01 14:56:51.1017152,2002-03-01 14:56:51.1017152,2002-03-01 14:56:51.1017152,00:00:00
2025-12-12 01:59:48.0686391,E:\Windows\prefetch\MMSSETUP.EXE-241690EA.pf,D:\Data\Target\E\Windows\prefetch\MMSSETUP.EXE-241690EA.pf,42262,ABDDBE4890C49DDFB50B5E23E6F94192336F9F89,False,2002-03-31 16:49:26.1427376,2002-03-31 16:49:26.1427376,2002-03-31 16:49:26.1427376,00:00:00
2025-12-12 01:59:48.0816334,E:\Windows\prefetch\MSIEXEC.EXE-2F8A8CAE.pf,D:\Data\Target\E\Windows\prefetch\MSIEXEC.EXE-2F8A8CAE.pf,19342,98E214C1F95E2485721E0ECE292A4259B70C5C6D,False,2002-02-28 22:23:54.1882768,2002-02-28 22:23:54.1882768,2002-02-28 22:23:54.1882768,00:00:00
2025-12-12 01:59:48.0816334,E:\Windows\prefetch\MSIMN.EXE-38BA891D.pf,D:\Data\Target\E\Windows\prefetch\MSIMN.EXE-38BA891D.pf,55704,C072450ACF08870A9FF2E23BB3D50B4E7631B638,False,2002-03-31 14:10:54.9650272,2002-06-03 21:08:19.9951888,2002-06-03 21:08:19.9951888,00:00:00
2025-12-12 01:59:48.0975403,E:\Windows\prefetch\MSMSGS.EXE-2B6052DE.pf,D:\Data\Target\E\Windows\prefetch\MSMSGS.EXE-2B6052DE.pf,32126,9522BE9D453BDF305D15CE4C79F6FB1160C83793,False,2002-02-28 22:24:19.0540320,2002-05-14 17:03:51.3998448,2002-05-14 17:03:51.3998448,00:00:00
2025-12-12 01:59:48.0975403,E:\Windows\prefetch\MSMSGSIN.EXE-2575A98E.pf,D:\Data\Target\E\Windows\prefetch\MSMSGSIN.EXE-2575A98E.pf,10344,6C5A324EA6A8F2677750A8FB2937235E2517A310,False,2002-03-31 16:49:17.8307856,2002-03-31 16:49:27.7350272,2002-03-31 16:49:27.7350272,00:00:00
2025-12-12 01:59:48.1132143,E:\Windows\prefetch\MSOOBE.EXE-30411B02.pf,D:\Data\Target\E\Windows\prefetch\MSOOBE.EXE-30411B02.pf,61344,B4E64FE9E498652A6186EF0FCAE02D1D1DBCE15B,False,2002-02-28 22:07:14.5909264,2002-03-31 14:02:01.0692352,2002-03-31 14:02:01.0692352,00:00:00
